ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code
4026360,HL379557,05/26/2005 06:45:00 AM,069XX S JEFFERY BLVD,0560,ASSAULT,SIMPLE,APARTMENT,False,True,331,3.0,5.0,43.0,08A
4119008,HL454666,06/30/2005 05:50:00 PM,061XX N LEMONT AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,1711,17.0,39.0,12.0,14
4163874,HL495786,07/20/2005 03:00:00 AM,024XX W WARREN BLVD,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,False,False,1332,12.0,2.0,28.0,07
4338881,HL640329,09/27/2005 07:00:00 PM,022XX W SUNNYSIDE AVE,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,1911,19.0,47.0,4.0,06
4610687,HM106486,01/04/2006 05:05:48 PM,027XX W VAN BUREN ST,2027,NARCOTICS,POSS: CRACK,ALLEY,True,False,1125,11.0,2.0,27.0,18
4687019,HM289590,04/13/2006 10:40:00 PM,022XX W 34TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,913,9.0,12.0,59.0,14
4702904,HM303657,04/21/2006 04:00:00 AM,036XX N CLARK ST,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,False,False,1923,19.0,44.0,6.0,26
4847408,HM287322,04/12/2006 08:20:00 PM,002XX N MICHIGAN AVE,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,STREET,True,False,122,1.0,42.0,32.0,18
5052140,HM659803,11/05/2005 11:00:00 AM,052XX W NORTH AVE,5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,SMALL RETAIL STORE,True,False,2532,25.0,37.0,25.0,26
5114920,HM710809,10/08/2006 06:00:00 PM,100XX W OHARE ST,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",AIRPORT/AIRCRAFT,False,False,1651,16.0,41.0,76.0,11
5125078,HM723838,11/16/2006 01:45:00 PM,058XX S CLAREMONT AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,824,8.0,16.0,63.0,26
5197086,HM624947,09/26/2006 08:15:00 PM,030XX N LEAVITT ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,True,False,1913,19.0,32.0,5.0,18
5321788,HN181024,02/17/2007 12:55:00 AM,022XX S WENTWORTH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,BAR OR TAVERN,True,False,2111,9.0,25.0,34.0,14
5327340,HN185910,02/20/2007 09:41:00 AM,021XX E 87TH ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,"SCHOOL, PUBLIC, BUILDING",True,False,412,4.0,8.0,45.0,26
5331013,HN185834,01/18/2007 07:00:00 AM,042XX N ELSTON AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1723,17.0,39.0,16.0,06
5334455,HN190009,02/22/2007 09:45:00 AM,081XX S VINCENNES AVE,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,False,622,6.0,21.0,44.0,08B
5334491,HN187837,02/21/2007 09:39:00 AM,002XX E 61ST ST,0460,BATTERY,SIMPLE,STREET,False,False,311,3.0,20.0,40.0,08B
5380142,HM769197,12/12/2006 06:45:00 AM,051XX S MARSHFIELD AVE,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,True,False,932,9.0,16.0,61.0,16
5419728,HN257095,03/30/2007 12:00:00 PM,057XX N TALMAN AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,2011,20.0,40.0,2.0,05
5437498,HN252846,03/28/2007 06:02:11 PM,038XX S VINCENNES AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,True,False,212,2.0,4.0,35.0,18
5596502,HN396594,06/10/2007 12:00:00 AM,008XX N ORLEANS ST,0917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",STREET,False,False,1823,18.0,27.0,8.0,07
5615893,HN424982,06/24/2007 04:37:00 AM,064XX S INGLESIDE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,314,3.0,20.0,42.0,08B
5670094,HN472164,06/25/2007 12:00:00 PM,069XX S EBERHART AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,CONSTRUCTION SITE,False,False,322,3.0,6.0,69.0,14
5691749,HN499731,07/31/2007 06:30:46 AM,094XX S EWING AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,False,False,432,4.0,10.0,52.0,03
5793554,HN601918,09/19/2007 07:00:00 PM,114XX S DR MARTIN LUTHER KING JR DR,0460,BATTERY,SIMPLE,SIDEWALK,True,False,531,5.0,9.0,49.0,08B
9801443,HX446120,09/27/2014 09:30:00 PM,016XX W 44TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,924,9.0,12.0,61.0,14
9947382,HY135848,01/31/2015 07:45:00 PM,008XX W WOLFRAM ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1933,19.0,44.0,6.0,14
6009314,HP113515,01/08/2008 04:00:00 PM,045XX S RICHMOND ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,912,9.0,14.0,58.0,06
6040853,HP138471,01/23/2008 10:28:42 AM,005XX S LAVERGNE AVE,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",False,False,1533,15.0,29.0,25.0,08A
6148034,HP239456,03/23/2008 04:10:00 AM,005XX N MARSHFIELD AVE,0460,BATTERY,SIMPLE,STREET,False,False,1324,12.0,26.0,24.0,08B
6178332,HP267720,04/08/2008 03:45:00 AM,011XX E HYDE PARK BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2124,2.0,4.0,41.0,08B
6283312,HP372236,06/03/2008 06:30:00 AM,021XX E 71ST ST,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,False,False,333,3.0,5.0,43.0,05
6402808,HP466333,07/08/2008 02:30:00 PM,001XX E 79TH ST,0820,THEFT,$500 AND UNDER,OTHER,False,False,623,6.0,6.0,69.0,06
6634011,HP706771,11/28/2008 03:00:00 PM,018XX W TOUHY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),False,False,2424,24.0,49.0,1.0,14
6665727,HP739207,12/17/2008 08:40:00 PM,007XX N LOTUS AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,True,False,1524,15.0,37.0,25.0,26
